pass_index,pass_name,shard_id,prompt_path,result_path,n_entries,n_personas,first_entry_id,last_entry_id,persona_ids_json
3,pass_3,pass_3_shard_002,logs/exports/twinkl_754_pilot/shards/pass_3/pass_3_shard_002.jsonl,logs/exports/twinkl_754_pilot/results/pass_3/shards/pass_3_shard_002_results.jsonl,7,5,075f8fdb__0,0d272008__5,"[""075f8fdb"", ""08c7f073"", ""0a2fe15c"", ""0ad04582"", ""0d272008""]"
3,pass_3,pass_3_shard_003,logs/exports/twinkl_754_pilot/shards/pass_3/pass_3_shard_003.jsonl,logs/exports/twinkl_754_pilot/results/pass_3/shards/pass_3_shard_003_results.jsonl,7,5,0d42f985__3,11de77e8__4,"[""0d42f985"", ""0e9a45e9"", ""110fcd4f"", ""11a31f12"", ""11de77e8""]"
3,pass_3,pass_3_shard_004,logs/exports/twinkl_754_pilot/shards/pass_3/pass_3_shard_004.jsonl,logs/exports/twinkl_754_pilot/results/pass_3/shards/pass_3_shard_004_results.jsonl,7,5,127aefff__4,18415364__1,"[""127aefff"", ""1496159d"", ""15f8d4b9"", ""1628bd07"", ""18415364""]"
3,pass_3,pass_3_shard_005,logs/exports/twinkl_754_pilot/shards/pass_3/pass_3_shard_005.jsonl,logs/exports/twinkl_754_pilot/results/pass_3/shards/pass_3_shard_005_results.jsonl,8,5,1ae9b1c1__0,1f86f569__2,"[""1ae9b1c1"", ""1b8b7276"", ""1d529c71"", ""1ed90155"", ""1f86f569""]"
3,pass_3,pass_3_shard_006,logs/exports/twinkl_754_pilot/shards/pass_3/pass_3_shard_006.jsonl,logs/exports/twinkl_754_pilot/results/pass_3/shards/pass_3_shard_006_results.jsonl,8,5,20730018__0,2d928d8a__7,"[""20730018"", ""22b117be"", ""23d101f8"", ""2719f938"", ""2d928d8a""]"
3,pass_3,pass_3_shard_007,logs/exports/twinkl_754_pilot/shards/pass_3/pass_3_shard_007.jsonl,logs/exports/twinkl_754_pilot/results/pass_3/shards/pass_3_shard_007_results.jsonl,4,4,2da4f100__0,3a517a79__0,"[""2da4f100"", ""2e6270bb"", ""344ea8f7"", ""3a517a79""]"
4,pass_4,pass_4_shard_001,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_001.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_001_results.jsonl,9,5,013d8101__0,06f1d745__4,"[""013d8101"", ""019235dc"", ""01b6f22a"", ""056f46ad"", ""06f1d745""]"
4,pass_4,pass_4_shard_002,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_002.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_002_results.jsonl,7,5,075f8fdb__0,0d272008__5,"[""075f8fdb"", ""08c7f073"", ""0a2fe15c"", ""0ad04582"", ""0d272008""]"
4,pass_4,pass_4_shard_003,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_003.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_003_results.jsonl,7,5,0d42f985__3,11de77e8__4,"[""0d42f985"", ""0e9a45e9"", ""110fcd4f"", ""11a31f12"", ""11de77e8""]"
4,pass_4,pass_4_shard_004,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_004.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_004_results.jsonl,7,5,127aefff__4,18415364__1,"[""127aefff"", ""1496159d"", ""15f8d4b9"", ""1628bd07"", ""18415364""]"
4,pass_4,pass_4_shard_005,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_005.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_005_results.jsonl,8,5,1ae9b1c1__0,1f86f569__2,"[""1ae9b1c1"", ""1b8b7276"", ""1d529c71"", ""1ed90155"", ""1f86f569""]"
4,pass_4,pass_4_shard_006,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_006.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_006_results.jsonl,8,5,20730018__0,2d928d8a__7,"[""20730018"", ""22b117be"", ""23d101f8"", ""2719f938"", ""2d928d8a""]"
4,pass_4,pass_4_shard_007,logs/exports/twinkl_754_pilot/shards/pass_4/pass_4_shard_007.jsonl,logs/exports/twinkl_754_pilot/results/pass_4/shards/pass_4_shard_007_results.jsonl,4,4,2da4f100__0,3a517a79__0,"[""2da4f100"", ""2e6270bb"", ""344ea8f7"", ""3a517a79""]"
5,pass_5,pass_5_shard_001,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_001.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_001_results.jsonl,9,5,013d8101__0,06f1d745__4,"[""013d8101"", ""019235dc"", ""01b6f22a"", ""056f46ad"", ""06f1d745""]"
5,pass_5,pass_5_shard_002,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_002.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_002_results.jsonl,7,5,075f8fdb__0,0d272008__5,"[""075f8fdb"", ""08c7f073"", ""0a2fe15c"", ""0ad04582"", ""0d272008""]"
5,pass_5,pass_5_shard_003,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_003.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_003_results.jsonl,7,5,0d42f985__3,11de77e8__4,"[""0d42f985"", ""0e9a45e9"", ""110fcd4f"", ""11a31f12"", ""11de77e8""]"
5,pass_5,pass_5_shard_004,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_004.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_004_results.jsonl,7,5,127aefff__4,18415364__1,"[""127aefff"", ""1496159d"", ""15f8d4b9"", ""1628bd07"", ""18415364""]"
5,pass_5,pass_5_shard_005,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_005.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_005_results.jsonl,8,5,1ae9b1c1__0,1f86f569__2,"[""1ae9b1c1"", ""1b8b7276"", ""1d529c71"", ""1ed90155"", ""1f86f569""]"
5,pass_5,pass_5_shard_006,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_006.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_006_results.jsonl,8,5,20730018__0,2d928d8a__7,"[""20730018"", ""22b117be"", ""23d101f8"", ""2719f938"", ""2d928d8a""]"
5,pass_5,pass_5_shard_007,logs/exports/twinkl_754_pilot/shards/pass_5/pass_5_shard_007.jsonl,logs/exports/twinkl_754_pilot/results/pass_5/shards/pass_5_shard_007_results.jsonl,4,4,2da4f100__0,3a517a79__0,"[""2da4f100"", ""2e6270bb"", ""344ea8f7"", ""3a517a79""]"
